,qn,fal,run,q1,q2,h,h_value
159,5.0,1.0,9.0,1.0,2.0,h_d,-0.2364128152874929
160,2.0,1.0,0.0,1.0,4.0,h_ab,-0.7090684904523626
161,2.0,1.0,1.0,1.0,4.0,h_ab,1.082425079726063
162,2.0,1.0,2.0,1.0,4.0,h_ab,0.34524755796333567
163,2.0,1.0,3.0,1.0,4.0,h_ab,0.201780497202501
164,2.0,1.0,4.0,1.0,4.0,h_ab,0.8999288452212407
165,2.0,1.0,5.0,1.0,4.0,h_ab,-1.3616914834990257
166,2.0,1.0,6.0,1.0,4.0,h_ab,1.0789152821235581
167,2.0,1.0,7.0,1.0,4.0,h_ab,-0.06717077964533898
168,2.0,1.0,8.0,1.0,4.0,h_ab,1.4023444772915992
169,2.0,1.0,9.0,1.0,4.0,h_ab,-0.0919552967766759
170,3.0,2.0,0.0,2.0,3.0,h_ab,-0.2929762292110199
171,3.0,2.0,1.0,2.0,3.0,h_ab,-1.185584157964246
172,3.0,2.0,2.0,2.0,3.0,h_ab,0.7905598248640833
173,3.0,2.0,3.0,2.0,3.0,h_ab,0.7202506654582778
174,3.0,2.0,4.0,2.0,3.0,h_ab,1.0098235446913182
175,3.0,2.0,5.0,2.0,3.0,h_ab,-0.6297329926566094
176,3.0,2.0,6.0,2.0,3.0,h_ab,-0.1027317188249172
177,3.0,2.0,7.0,2.0,3.0,h_ab,-1.5151749789909035
178,3.0,2.0,8.0,2.0,3.0,h_ab,1.367674968346528
179,3.0,2.0,9.0,2.0,3.0,h_ab,-0.8476121002262348
180,4.0,2.0,0.0,2.0,4.0,h_ab,-1.3909224470457062
181,4.0,2.0,1.0,2.0,4.0,h_ab,0.34302617360667703
182,4.0,2.0,2.0,2.0,4.0,h_ab,0.8046101677628914
183,4.0,2.0,3.0,2.0,4.0,h_ab,0.7852315791068092
184,4.0,2.0,4.0,2.0,4.0,h_ab,0.7714091773294194
185,4.0,2.0,5.0,2.0,4.0,h_ab,0.11154968237250419
186,4.0,2.0,6.0,2.0,4.0,h_ab,0.13217710450790976
187,4.0,2.0,7.0,2.0,4.0,h_ab,-0.6583046401814994
188,4.0,2.0,8.0,2.0,4.0,h_ab,0.8795263439529579
189,4.0,2.0,9.0,2.0,4.0,h_ab,1.7006719109883524
190,5.0,1.0,0.0,1.0,2.0,h_ab,1.2577825250631118
191,5.0,1.0,1.0,1.0,2.0,h_ab,-0.35078678573922667
192,5.0,1.0,2.0,1.0,2.0,h_ab,-0.7446854290838361
193,5.0,1.0,3.0,1.0,2.0,h_ab,1.1914598242320777
194,5.0,1.0,4.0,1.0,2.0,h_ab,-0.9474762626220404
195,5.0,1.0,5.0,1.0,2.0,h_ab,0.9882636458272934
196,5.0,1.0,6.0,1.0,2.0,h_ab,1.3697836413932125
197,5.0,1.0,7.0,1.0,2.0,h_ab,-0.3878178338381118
198,5.0,1.0,8.0,1.0,2.0,h_ab,-1.4393798804211422
199,5.0,1.0,9.0,1.0,2.0,h_ab,0.05907665508414183
200,2.0,1.0,0.0,1.0,4.0,h_ac,0.9483457503005792
201,2.0,1.0,1.0,1.0,4.0,h_ac,-0.43017364979571654
202,2.0,1.0,2.0,1.0,4.0,h_ac,-0.922270186591828
203,2.0,1.0,3.0,1.0,4.0,h_ac,0.7082215064643236
204,2.0,1.0,4.0,1.0,4.0,h_ac,0.9788831907023489
205,2.0,1.0,5.0,1.0,4.0,h_ac,-1.575627108448657
206,2.0,1.0,6.0,1.0,4.0,h_ac,0.5397545917109234
207,2.0,1.0,7.0,1.0,4.0,h_ac,-1.5981935068925066
208,2.0,1.0,8.0,1.0,4.0,h_ac,-0.9273103280700182
209,2.0,1.0,9.0,1.0,4.0,h_ac,0.6048498159166571
210,3.0,2.0,0.0,2.0,3.0,h_ac,-1.7723142433415582
211,3.0,2.0,1.0,2.0,3.0,h_ac,1.1510843538739441
212,3.0,2.0,2.0,2.0,3.0,h_ac,0.7613759226133304
213,3.0,2.0,3.0,2.0,3.0,h_ac,-0.47268052716337255
214,3.0,2.0,4.0,2.0,3.0,h_ac,-1.0676349579424218
215,3.0,2.0,5.0,2.0,3.0,h_ac,-0.8270937016878125
216,3.0,2.0,6.0,2.0,3.0,h_ac,-1.3970751333259226
217,3.0,2.0,7.0,2.0,3.0,h_ac,-0.8399842981265143
218,3.0,2.0,8.0,2.0,3.0,h_ac,-0.7526300859845794
219,3.0,2.0,9.0,2.0,3.0,h_ac,-1.0042429781156528
220,4.0,2.0,0.0,2.0,4.0,h_ac,-0.44004873971659353
221,4.0,2.0,1.0,2.0,4.0,h_ac,0.03355052739154104
222,4.0,2.0,2.0,2.0,4.0,h_ac,-0.34463978170934184
223,4.0,2.0,3.0,2.0,4.0,h_ac,0.0013016207293710597
224,4.0,2.0,4.0,2.0,4.0,h_ac,-0.5277102660950097
225,4.0,2.0,5.0,2.0,4.0,h_ac,0.7419257142905364
226,4.0,2.0,6.0,2.0,4.0,h_ac,2.001502313682901
227,4.0,2.0,7.0,2.0,4.0,h_ac,0.9934251393649066
228,4.0,2.0,8.0,2.0,4.0,h_ac,0.0012859236909149479
229,4.0,2.0,9.0,2.0,4.0,h_ac,0.6860951564148339
230,5.0,1.0,0.0,1.0,2.0,h_ac,-0.777795970494509
231,5.0,1.0,1.0,1.0,2.0,h_ac,-1.7545849281375816
