,qn,fal,run,q1,q2,h_a,h_b,h_c,h_d,h_ab,h_ac,h_ad,h_bc,h_bd,h_cd
15,3.0,2.0,5.0,2.0,3.0,-0.05277319951063743,-0.18190219512803543,-0.5074712023120426,0.0696584111078519,-0.6297329926566094,-0.8270937016878125,0.6182804991121122,0.8399588341165451,0.6719733130434672,0.43812599044160294
16,3.0,2.0,6.0,2.0,3.0,0.08852646616690989,2.0049571305315115,-0.2554157429678699,1.0188636855102184,-0.1027317188249172,-1.3970751333259226,1.3445019088326096,0.8656025329881332,-1.7266689047277002,0.3988873200781465
17,3.0,2.0,7.0,2.0,3.0,1.0135425579473538,2.681246126263042,-0.8703314325591885,-1.2528084502706325,-1.5151749789909035,-0.8399842981265143,-0.7499255011622756,-1.0939577019728637,2.2291477132267565,-1.3896579583149447
18,3.0,2.0,8.0,2.0,3.0,-1.0351048591909415,0.32303682917160487,-0.1396188046371624,-1.723751170833067,1.367674968346528,-0.7526300859845794,-1.8997365771713628,-1.0403424000178847,1.423974673072861,-0.9155460210495301
19,3.0,2.0,9.0,2.0,3.0,1.1411250943219644,-0.7529630155577034,1.0251398862126024,-1.479528981522109,-0.8476121002262348,-1.0042429781156528,-0.9348698465412252,-0.8655086007426687,-1.3378061936844146,-0.810358507971265
20,4.0,2.0,0.0,2.0,4.0,-0.8912674201629842,0.1909112660753518,-0.3346203922315715,-1.0776433992991412,-1.3909224470457062,-0.44004873971659353,1.2073263372779424,0.8002129939202707,1.2215174138229365,-0.7320930304037506
21,4.0,2.0,1.0,2.0,4.0,0.7899135334738197,-0.17584608953561762,-1.9576757268923026,-0.24094959947458738,0.34302617360667703,0.03355052739154104,-1.1448345603670587,0.4347557927180627,-0.7231098106093586,0.8008414535524635
22,4.0,2.0,2.0,2.0,4.0,-0.5349614441965992,0.8083380346148216,0.5129401153908917,-0.43481396399364697,0.8046101677628914,-0.34463978170934184,-0.13593968557715266,-0.9511366936804341,-1.1516211013703124,-0.03598689129846502
23,4.0,2.0,3.0,2.0,4.0,0.3002035761578165,-0.8051229074381415,-0.8974095446739578,-1.017831866405231,0.7852315791068092,0.0013016207293710597,0.8882017121675048,1.0843039422280045,-0.6938613279359112,-0.5862896388018117
24,4.0,2.0,4.0,2.0,4.0,0.5198478520428258,0.5491657011631448,1.6710273409019867,0.9367546210337006,0.7714091773294194,-0.5277102660950097,-1.7288306351521245,-1.9983725030590758,0.513061595455077,-1.3090956664389186
25,4.0,2.0,5.0,2.0,4.0,-1.5038064818132117,0.1973031245394464,-0.39298555299934035,0.5263108812395453,0.11154968237250419,0.7419257142905364,0.35628279456787504,-0.5532664011390303,0.5082908172245137,-0.5273739987349976
26,4.0,2.0,6.0,2.0,4.0,0.4461851665022863,-1.3539208618073828,0.5535757012802326,-0.370785072467019,0.13217710450790976,2.001502313682901,-1.5459814703796464,-1.0712479842180627,0.8755982763333187,0.5304768722383156
27,4.0,2.0,7.0,2.0,4.0,2.0093116986376267,5.16913548923017,-0.7649380697924313,0.14893941603019384,-0.6583046401814994,0.9934251393649066,-1.556276137852703,1.2384909406691411,-0.9992387223522703,-1.0763462327101834
28,4.0,2.0,8.0,2.0,4.0,0.7923345733866395,0.11626560321531393,-0.016677256664885332,0.981681909328003,0.8795263439529579,0.0012859236909149479,0.25155528960018075,0.438833949628992,0.5532736593347469,-0.8555446761353934
29,4.0,2.0,9.0,2.0,4.0,-1.139572148252551,3.035517071415299,-0.5069015745615104,-1.135531463236351,1.7006719109883524,0.6860951564148339,-1.0005055946512436,-0.998322493766999,1.1678647951979833,0.8611042446293665
30,5.0,1.0,0.0,1.0,2.0,1.8972689575817714,-0.7066085137560292,-0.928310505903397,-1.0209296396698895,1.2577825250631118,-0.777795970494509,0.8334031135307687,1.5653569361216326,0.8720966750688379,-0.5698412204852532
31,5.0,1.0,1.0,1.0,2.0,-1.5983109335343193,1.8055334741935212,1.4947060131184777,1.3731426577103065,-0.35078678573922667,-1.7545849281375816,0.7691922727801025,1.1540608890786528,-0.7219872496137025,-1.1358395686484148
32,5.0,1.0,2.0,1.0,2.0,1.029871122671088,1.437250228518479,0.4857940891800266,-0.46645490340198215,-0.7446854290838361,-0.8514259576539672,0.6888784431163466,-0.9730248187098139,-1.4349611674722864,-0.5833583465847137
33,5.0,1.0,3.0,1.0,2.0,-1.5064984594959105,-1.3164235068709085,-0.8227135631871706,0.8389642247379708,1.1914598242320777,0.7959061400355184,-0.6644745573963017,-0.7619983993480834,-1.2554704600643285,-0.9968359695148019
34,5.0,1.0,4.0,1.0,2.0,0.29178054163292,-0.25726324883118257,1.1903290012596761,0.6381021134993984,-0.9474762626220404,-0.15950836309406097,-0.5574621344978757,0.9847324450841345,0.4295250380269356,-0.4884228448616676
35,5.0,1.0,5.0,1.0,2.0,-0.665615774484684,1.1716870469426122,-0.9686450313422045,2.1474141172679433,0.9882636458272934,0.7740520031776346,-0.7229182715743997,1.5857215522638062,0.32028577115983864,0.602448562805077
