,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder
75,8.0,24294903.0,3.0,4.0,2.0,4.0,0.45,0.49,0.56,,2.0,-0.07000000000000006,0.0,0.7012509979891968,0.04126619561065281,0.3061986460204056,0.6424846520301082,1302
76,8.0,24294903.0,4.0,2.0,1.0,4.0,0.49,0.47,0.5,,1.0,0.030000000000000027,0.0,0.5925630093755505,0.2624291902967182,0.282842712474619,0.7071067811865476,0312
77,8.0,24294903.0,5.0,5.0,1.0,2.0,0.45,0.55,0.6,,1.0,0.14999999999999997,0.0,0.5426799485858114,0.2742121789286682,0.17408662880903036,0.7745966692414834,0123
78,8.0,24294903.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
79,8.0,24294903.0,7.0,7.0,1.0,3.0,0.63,0.55,0.51,,2.0,0.12,0.0,0.2934694979090485,-0.07368836786203081,0.18812283951514663,0.9343743765170358,0213
81,9.0,85923222.0,0.0,0.0,1.0,2.0,0.85,1.0,0.86,,1.0,0.010000000000000009,0.0,,0.4868517128235248,0.3764786314909594,0.9273618495495703,0123
82,9.0,85923222.0,1.0,1.0,3.0,4.0,0.62,0.26,0.23,,1.0,-0.03,0.0,0.5565492363278547,0.24152710276152595,0.6339697202347325,0.47958315233127197,2301
83,9.0,85923222.0,2.0,5.0,1.0,2.0,0.93,0.96,0.91,,1.0,-0.020000000000000018,0.0,,0.4317014446381562,0.40987896828163994,0.9539392014169457,0123
84,9.0,85923222.0,3.0,4.0,2.0,4.0,0.95,0.55,0.96,,2.0,-0.010000000000000009,0.0,,-0.3295960270388705,0.6482474266775624,0.7301574485314595,1302
85,9.0,85923222.0,4.0,3.0,2.0,3.0,0.97,0.29,0.3,,2.0,0.6699999999999999,0.0,,-0.631261517132021,0.187105987464123,1.2057328402542888,1203
86,9.0,85923222.0,5.0,2.0,1.0,4.0,0.21,0.86,0.84,,1.0,0.63,0.0,,0.39497256586923213,-0.268441069150382,0.916515138991168,0312
87,9.0,85923222.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,
88,9.0,85923222.0,7.0,7.0,1.0,3.0,0.81,0.22,0.09,,2.0,0.7200000000000001,0.0,,-0.6094672480647055,-0.1437097158004167,1.416501921936202,0213
90,10.0,15834726.0,0.0,0.0,1.0,2.0,0.47,0.99,0.63,,1.0,0.16000000000000003,0.0,,0.6133993346276517,0.17581057816388856,0.7937253933193772,0123
91,10.0,15834726.0,1.0,1.0,3.0,4.0,0.8,0.54,0.64,,1.0,0.09999999999999998,0.0,0.29432376352222184,0.23923048454132645,0.4649110640673517,0.8,2301
92,10.0,15834726.0,2.0,3.0,2.0,3.0,0.7,0.69,0.69,,2.0,0.010000000000000009,0.0,0.29205191365275723,-0.008481944172850087,0.26401544454674264,0.9192005120731803,1203
93,10.0,15834726.0,3.0,2.0,1.0,4.0,0.61,0.72,0.59,,1.0,-0.020000000000000018,0.0,0.3321077170215987,0.4318854252131391,0.3364215269318652,0.7681145747868608,0312
94,10.0,15834726.0,4.0,4.0,2.0,4.0,0.52,0.93,0.92,,2.0,0.010000000000000009,0.0,0.5209900344605437,0.34401426698002857,0.2975066028850295,0.7222972998335273,1302
