,user,userID,pos,qn,q1,q2,p1,p2,p12,p123,fal,irr,ent,a00,a01,a10,a11,qorder,check_pA,check_pA_B,check_pB
24,2.0,43182876.0,6.0,6.0,1.0,3.0,0.6,0.3,0.32,,2.0,0.28,0.0,0.7282250422779218,-0.17634764897431937,0.013794723420023386,0.6621174377222726,213.0,0.6000022398611039,0.32000544872455816,0.3000033074878489
25,2.0,43182876.0,7.0,7.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
27,3.0,20246478.0,0.0,0.0,1.0,2.0,0.84,1.0,0.89,,1.0,0.05000000000000005,0.0,-0.010429430807903853,0.38828325505695604,-0.0540378260156215,0.9198953044519859,123.0,0.8400265743806158,0.8897479225756939,0.9975773487128404
28,3.0,20246478.0,1.0,1.0,3.0,4.0,0.61,0.46,0.58,,1.0,0.11999999999999995,0.0,0.6801740092758639,-0.08126316233922888,0.020788027100503655,0.7282358757285798,2301.0,0.6100009689363787,0.5800022565578908,0.46001078823561237
29,3.0,20246478.0,2.0,5.0,1.0,2.0,1.0,0.72,0.98,,1.0,0.26,0.0,0.2684173019932425,-0.27087077356354133,0.13314196749629872,0.9147979769758292,123.0,0.9999945186581284,0.9799990789291515,0.7199998929401553
30,3.0,20246478.0,3.0,3.0,2.0,3.0,0.59,0.66,0.74,,2.0,-0.07999999999999996,0.0,0.5906446359899579,0.13086978083991613,0.07249735958348551,0.7929417733504582,1203.0,0.5899525857393243,0.7399455634507618,0.6599424874668777
31,3.0,20246478.0,4.0,4.0,2.0,4.0,0.93,0.8,0.6,,2.0,0.3300000000000001,0.0,0.43218632561201853,-0.22506370982742466,-0.11174516148580786,0.8660683534315932,1302.0,0.9298912408825378,0.5999469431786978,0.8000610606580276
32,3.0,20246478.0,5.0,2.0,1.0,4.0,0.94,0.99,0.64,,1.0,-0.29999999999999993,0.0,-0.18979841714805543,0.47217996468975565,0.3176705018150045,0.8000675758866577,312.0,0.9400040076903964,0.6399989498939944,0.9899990095863829
33,3.0,20246478.0,6.0,6.0,1.0,3.0,,,,,2.0,,0.0,,,,,,,,
34,3.0,20246478.0,7.0,7.0,1.0,3.0,0.45,0.57,0.59,,2.0,-0.020000000000000014,0.0,0.6951133169525169,0.10769888175153716,0.015632038302425908,0.7106155440444929,213.0,0.45005223044310233,0.5900540111785815,0.5700033602055475
36,4.0,33115914.0,0.0,0.0,1.0,2.0,0.29,0.73,0.47,,1.0,0.18,0.0,0.6781303925425495,0.19618709114909852,-0.13623238457091194,0.6950473925257072,123.0,0.2900275685918108,0.4699965432063541,0.7300861113616199
37,4.0,33115914.0,1.0,1.0,3.0,4.0,0.66,0.39,0.43,,1.0,0.03999999999999998,0.0,0.6744599260194903,-0.031556131090646276,0.18053549569028257,0.7152027362901796,2301.0,0.6600026998940473,0.4300008824083735,0.3900005328333623
38,4.0,33115914.0,2.0,3.0,2.0,3.0,0.53,0.3,0.44,,2.0,0.09000000000000002,0.0,0.762887158671244,-0.06494970840669081,0.106849414659413,0.6343248648656051,1203.0,0.5300170139017331,0.43999809108191706,0.29999920052003365
